observation_date,LEU0252881500A
1979-01-01,241
1980-01-01,262
1981-01-01,284
1982-01-01,302
1983-01-01,313
1984-01-01,326
1985-01-01,344
1986-01-01,359
1987-01-01,374
1988-01-01,385
1989-01-01,399
1990-01-01,412
1991-01-01,426
1992-01-01,440
1993-01-01,459
1994-01-01,467
1995-01-01,479
1996-01-01,490
1997-01-01,503
1998-01-01,523
1999-01-01,549
2000-01-01,576
2001-01-01,596
2002-01-01,608
2003-01-01,620
2004-01-01,638
2005-01-01,651
2006-01-01,671
2007-01-01,695
2008-01-01,722
2009-01-01,739
2010-01-01,747
2011-01-01,756
2012-01-01,768
2013-01-01,776
2014-01-01,791
2015-01-01,809
2016-01-01,832
2017-01-01,860
2018-01-01,886
2019-01-01,917
2020-01-01,984
2021-01-01,998
2022-01-01,1059
2023-01-01,1117
2024-01-01,1159
